file	nr	chembl_id	inchi_key	tautomer_smiles	smile
vanwesten_tauromer.csv	301	Ku_0063794	RFSMUFRPPYDYRD-UHFFFAOYSA-N	OCc1cc(ccc1(OC))c2nc3nc(nc(c3(cc2))N4CCOCC4)N5CC(OC(C)C5)C	OCc1cc(ccc1(OC))c2nc3nc(nc(c3(cc2))N4CCOCC4)N5CC(OC(C)C5)C
vanwesten_tauromer.csv	302	KU_55933	XRKYMMUGXMWDAO-UHFFFAOYSA-N	O=C1C=C(OC(=C1)N2CCOCC2)c3cccc5c3Sc4ccccc4S5	O=C1C=C(OC(=C1)N2CCOCC2)c3cccc5c3Sc4ccccc4S5
vanwesten_tauromer.csv	303	KW_2449	YYLKKYCXAOBSRM-UHFFFAOYSA-N	O=C(c1ccc(cc1)C=Cc3[nH]nc2ccccc23)N4CCNCC4	O=C(c3ccc(C=Cc1n[nH]c2ccccc12)cc3)N4CCNCC4
vanwesten_tauromer.csv	304	Lapatinib	RYDUVJCGAOHCHF-UHFFFAOYSA-N	Fc1cccc(c1)COc2ccc(cc2Cl)Nc4ncnc3ccc(cc34)c5oc(cc5)CN=CCS(O)(O)=C	O=S(=O)(C)CCNCc1oc(cc1)c4ccc5ncnc(Nc3ccc(OCc2cccc(F)c2)c(c3)Cl)c5(c4)
vanwesten_tauromer.csv	305	Lck_Inhibitor	FMETVQKSDIOGPX-UHFFFAOYSA-N	n1cnc2c(c1N)c(cn2C3CCCC3)c5ccc(Oc4ccccc4)cc5	n1cnc2c(c1N)c(cn2C3CCCC3)c5ccc(Oc4ccccc4)cc5
vanwesten_tauromer.csv	306	LDN_193189	CDOVNWNANFFLFJ-UHFFFAOYSA-N	n1ccc(c2ccccc12)c3cnn4cc(cnc34)c5ccc(cc5)N6CCNCC6	n1ccc(c2ccccc12)c3cnn4cc(cnc34)c5ccc(cc5)N6CCNCC6
vanwesten_tauromer.csv	307	Lenalidomide	GOTYRUGSSMKFNF-UHFFFAOYSA-N	O=C3NC(=O)C(N2C(=O)c1cccc(N)c1C2)CC3	O=C3NC(=O)C(N2C(=O)c1cccc(N)c1C2)CC3
vanwesten_tauromer.csv	308	Lestaurtinib	UIARLYUEJFELEN-UHFFFAOYSA-N	O=C1NCc8c1c3c2ccccc2n6c3c5c8(c4ccccc4n5C7(OC6CC7(O)(CO))(C))	O=C1NCc8c1c3c2ccccc2n6c3c5c8(c4ccccc4n5C7(OC6CC7(O)(CO))(C))
vanwesten_tauromer.csv	309	LFM_A13	BQLDGDMKDYAGNE-UHFFFAOYSA-N	N#CC(C(=O)Nc1cc(ccc1Br)Br)C(=O)C	N#CC(C(=O)Nc1cc(ccc1Br)Br)=C(O)C
vanwesten_tauromer.csv	313	LY_294002	CZQHHVNHHHRRDU-UHFFFAOYSA-N	O=C3C=C(Oc1c3(cccc1c2ccccc2))N4CCOCC4	O=C3C=C(Oc1c3(cccc1c2ccccc2))N4CCOCC4
vanwesten_tauromer.csv	314	LY_303511	NGAGMBNBKCDCDJ-UHFFFAOYSA-N	O=C3C=C(Oc2c3(cccc2(c1ccccc1)))N4CCNCC4	O=C3C=C(Oc2c3(cccc2(c1ccccc1)))N4CCNCC4
vanwesten_tauromer.csv	315	LY_333531	ZCBUQCWBWNUWSU-UHFFFAOYSA-N	O=C5NC(=O)C=6c1cn(c2ccccc12)CCC(OCCn4cc(c3ccccc34)C5=6)CN(C)C	O=C5NC(=O)C=6c1cn(c2ccccc12)CCC(OCCn4cc(c3ccccc34)C5=6)CN(C)C
vanwesten_tauromer.csv	316	LY_364947	IBCXZJCWDGCXQT-UHFFFAOYSA-N	n3cc(c2ccnc1ccccc12)c([nH]3)c4ncccc4	n1ccccc1c2n[nH]cc2c4ccnc3ccccc34
