accession,kinase_name,hgnc_mgi,kinase_group
P04629,TRKA,NTRK1,TK
P05129,PKCg,PRKCG,AGC
P05771,PKCb,PRKCB,AGC
P06213,INSR,INSR,TK
P06239,LCK,LCK,TK
P06241,FYN,FYN,TK
P06493,CDC2,CDK1,CMGC
P07332,FES,FES,TK
P07333,FMS,CSF1R,TK
P07947,YES,YES1,TK
P07948,LYN,LYN,TK
P07949,RET,RET,TK
P08069,IGF1R,IGF1R,TK
P08581,MET,MET,TK
P08631,HCK,HCK,TK
P08922,ROS,ROS1,TK
P09619,PDGFRb,PDGFRB,TK
P09769,FGR,FGR,TK
P0C1S8,Wee1B,WEE2,Other
P0C264,SgK110,SBK3,Other
P10398,ARAF,ARAF,TKL
P10721,KIT,KIT,TK
P11274,BCR,BCR,Atypical
P11309,PIM1,PIM1,CAMK
P11362,FGFR1,FGFR1,TK
P11801,PSKH1,PSKH1,CAMK
P11802,CDK4,CDK4,CMGC
P12931,SRC,SRC,TK
P14616,IRR,INSRR,TK
P15056,BRAF,BRAF,TKL
P15735,PHKg2,PHKG2,CAMK
P16066,ANPa,NPR1,RGC
P16234,PDGFRa,PDGFRA,TK
P16591,FER,FER,TK
P17252,PKCa,PRKCA,AGC
P17612,PKACa,PRKACA,AGC
P17948,FLT1,FLT1,TK
P19525,PKR,EIF2AK2,Other
P19784,CK2a2,CSNK2A2,CMGC
P20594,ANPb,NPR2,RGC
P20794,MAK,MAK,CMGC
P21127,PITSLRE,CDK11B,CMGC
P21675,TAF1,TAF1,Atypical
P21709,EphA1,EPHA1,TK
P21802,FGFR2,FGFR2,TK
P21860,ErbB3,ERBB3,TK
P22455,FGFR4,FGFR4,TK
P22607,FGFR3,FGFR3,TK
P22612,PKACg,PRKACG,AGC
P22694,PKACb,PRKACB,AGC
P23443,p70S6K,RPS6KB1,AGC
P24723,PKCh,PRKCH,AGC
P24941,CDK2,CDK2,CMGC
P25092,HSER,GUCY2C,RGC
P25098,BARK1,GRK2,AGC
P25440,BRD2,BRD2,Atypical
P27037,ACTR2,ACVR2A,TKL
P27361,Erk1,MAPK3,CMGC
P27448,MARK3,MARK3,CAMK
P28482,Erk2,MAPK1,CMGC
P29317,EphA2,EPHA2,TK
P29320,EphA3,EPHA3,TK
P29322,EphA8,EPHA8,TK
P29323,EphB2,EPHB2,TK
P29376,LTK,LTK,TK
P30291,Wee1,WEE1,Other
P30530,AXL,AXL,TK
P31152,Erk4,MAPK4,CMGC
P31749,AKT1,AKT1,AGC
P31751,AKT2,AKT2,AGC
P32298,GPRK4,GRK4,AGC
P33981,TTK,TTK,Other
P34947,GPRK5,GRK5,AGC
P35557,GCK,GCK,STE
P35590,TIE1,TIE1,TK
P35626,BARK2,GRK3,AGC
P35916,FLT4,FLT4,TK
P35968,KDR,KDR,TK
P36507,MAP2K2,MAP2K2,STE
P36888,FLT3,FLT3,TK
P36894,BMPR1A,BMPR1A,TKL
P36896,ALK4,ACVR1B,TKL
P36897,TGFbR1,TGFBR1,TKL
P37023,ALK1,ACVRL1,TKL
P37173,TGFbR2,TGFBR2,TKL
P41240,CSK,CSK,TK
P41279,COT,MAP3K8,STE
P41743,PKCi,PRKCI,AGC
P42336,p110a,PIK3CA,Atypical
P42338,p110b,PIK3CB,Atypical
P42345,FRAP,MTOR,Atypical
P42356,PI4KA,PI4KA,Atypical
P42679,CTK,MATK,TK
P42680,TEC,TEC,TK
P42681,TXK,TXK,TK
P42684,ABL2,ABL2,TK
P42685,FRK,FRK,TK
P43250,GPRK6,GRK6,AGC
P43403,ZAP70,ZAP70,TK
P43405,SYK,SYK,TK
P45983,JNK1,MAPK8,CMGC
P45984,JNK2,MAPK9,CMGC
P45985,MAP2K4,MAP2K4,STE
P46734,MAP2K3,MAP2K3,STE
P48426,PIP4K2A,PIP4K2A,Atypical
P48729,CK1a,CSNK1A1,CK1
P48730,CK1d,CSNK1D,CK1
P48736,p110g,PIK3CG,Atypical
P49137,MAPKAPK2,MAPKAPK2,CAMK
P49336,CDK8,CDK8,CMGC
P49674,CK1e,CSNK1E,CK1
P49759,CLK1,CLK1,CMGC
P49760,CLK2,CLK2,CMGC
P49761,CLK3,CLK3,CMGC
P49840,GSK3A,GSK3A,CMGC
P49841,GSK3B,GSK3B,CMGC
P49842,G11,STK19,Atypical
P50613,CDK7,CDK7,CMGC
P50750,CDK9,CDK9,CMGC
P51451,BLK,BLK,TK
P51617,IRAK1,IRAK1,TKL
P51813,BMX,BMX,TK
P51817,PRKX,PRKX,AGC
P51955,NEK2,NEK2,Other
P51956,NEK3,NEK3,Other
P51957,NEK4,NEK4,Other
P52564,MAP2K6,MAP2K6,STE
P53350,PLK1,PLK1,Other
P53355,DAPK1,DAPK1,CAMK
P53667,LIMK1,LIMK1,TKL
P53671,LIMK2,LIMK2,TKL
P53778,p38g,MAPK12,CMGC
P53779,JNK3,MAPK10,CMGC
P54646,AMPKa2,PRKAA2,CAMK
P54753,EphB3,EPHB3,TK
P54756,EphA5,EPHA5,TK
P54760,EphB4,EPHB4,TK
P54762,EphB1,EPHB1,TK
P54764,EphA4,EPHA4,TK
P57058,HUNK,HUNK,CAMK
P57059,SIK,SIK1,CAMK
P57078,ANKRD3,RIPK4,TKL
P68400,CK2a1,CSNK2A1,CMGC
P78356,PIP4K2B,PIP4K2B,Atypical
P78362,SRPK2,SRPK2,CMGC
P78368,CK1g2,CSNK1G2,CK1
P80192,MLK1,MAP3K9,TKL
Q00526,CDK3,CDK3,CMGC
Q00532,CDKL1,CDKL1,CMGC
Q00534,CDK6,CDK6,CMGC
Q00535,CDK5,CDK5,CMGC
Q00536,PCTAIRE1,CDK16,CMGC
Q00537,PCTAIRE2,CDK17,CMGC
Q01973,ROR1,ROR1,TK
Q01974,ROR2,ROR2,TK
Q02156,PKCe,PRKCE,AGC
Q02750,MAP2K1,MAP2K1,STE
Q02763,TIE2,TEK,TK
Q02779,MLK2,MAP3K10,TKL
Q04759,PKCt,PRKCQ,AGC
Q04771,ALK2,ACVR1,TKL
Q04912,RON,MST1R,TK
Q05397,FAK,PTK2,TK
Q05513,PKCz,PRKCZ,AGC
Q05655,PKCd,PRKCD,AGC
Q05823,RNAseL,RNASEL,Other
Q06187,BTK,BTK,TK
Q06418,TYRO3,TYRO3,TK
